Timestamp,IP_Version,Source_IP,Destination_IP,Protocol_Details
2026-06-09 18:03:32,Layer 2,N/A,N/A,Ether / ARP who has 192.168.1.155 says 192.168.1.1 / Padding
2026-06-09 18:03:32,Layer 2,N/A,N/A,Ether / ARP who has 192.168.1.170 says 192.168.1.1 / Padding
2026-06-09 18:03:32,Layer 2,N/A,N/A,Ether / ARP is at 7e:3f:25:5e:ad:7b says 192.168.1.170
2026-06-09 18:03:32,IPv4,192.168.1.170,20.44.10.123,TCP
2026-06-09 18:03:32,IPv4,20.44.10.123,192.168.1.170,TCP
2026-06-09 18:03:32,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:03:32,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:03:32,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:03:33,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:03:33,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:03:33,IPv4,20.184.175.22,192.168.1.170,TCP
2026-06-09 18:03:33,IPv4,20.184.175.22,192.168.1.170,TCP
2026-06-09 18:03:33,IPv4,192.168.1.170,192.168.1.1,UDP
2026-06-09 18:03:33,IPv4,192.168.1.170,192.168.1.1,UDP
2026-06-09 18:03:33,IPv4,192.168.1.1,192.168.1.170,UDP
2026-06-09 18:03:33,IPv4,192.168.1.1,192.168.1.170,UDP
2026-06-09 18:03:33,IPv4,192.168.1.170,52.182.143.213,TCP
2026-06-09 18:03:33,IPv4,20.184.175.22,192.168.1.170,TCP
2026-06-09 18:03:33,IPv4,52.182.143.213,192.168.1.170,TCP
2026-06-09 18:03:33,IPv4,192.168.1.170,52.182.143.213,TCP
2026-06-09 18:23:01,Layer 2,N/A,N/A,Ether / ARP who has 192.168.1.170 says 192.168.1.1 / Padding
2026-06-09 18:23:01,IPv6,fe80::3ebd:c5ff:fe6f:605,IPv6 / ICMPv6ND_NS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 3c:bd:c5:6f:06:05,UNKNOWN (58)
2026-06-09 18:23:01,Layer 2,N/A,N/A,Ether / ARP is at 7e:3f:25:5e:ad:7b says 192.168.1.170
2026-06-09 18:23:01,IPv6,fe80::bfaf:e9ab:4a2f:6bb3,IPv6 / ICMPv6ND_NA / ICMPv6 Neighbor Discovery Option - Destination Link-Layer Address 7e:3f:25:5e:ad:7b,UNKNOWN (58)
2026-06-09 18:23:02,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:23:02,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:23:02,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:23:02,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:23:02,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:23:02,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:23:02,IPv4,192.168.1.170,20.184.175.22,TCP
2026-06-09 18:23:02,IPv4,20.184.175.22,192.168.1.170,TCP
2026-06-09 18:23:02,IPv4,20.184.175.22,192.168.1.170,TCP
2026-06-09 18:23:02,IPv4,20.184.175.22,192.168.1.170,TCP
2026-06-09 18:23:02,IPv4,192.168.1.170,192.168.1.1,UDP
2026-06-09 18:23:02,IPv4,192.168.1.170,192.168.1.1,UDP
2026-06-09 18:23:02,IPv4,192.168.1.1,192.168.1.170,UDP
2026-06-09 18:23:02,IPv6,2600:4041:65e8:bc00:4946:707f:f15:c888,IPv6 / UDP / DNS Qry b'mobile.events.data.microsoft.com.',UDP
2026-06-09 18:23:02,IPv4,192.168.1.1,192.168.1.170,UDP
2026-06-09 18:23:02,IPv4,192.168.1.170,13.69.116.107,TCP
2026-06-09 18:26:41,IPv4,192.168.1.1,239.255.255.250,UDP
2026-06-09 18:26:41,IPv4,192.168.1.1,239.255.255.250,UDP
2026-06-09 18:26:41,IPv4,192.168.1.1,239.255.255.250,UDP
2026-06-09 18:26:41,IPv4,192.168.1.1,239.255.255.250,UDP
2026-06-09 18:26:41,IPv4,192.168.1.1,239.255.255.250,UDP
2026-06-09 18:27:15,IPv4,192.168.1.1,239.255.255.250,UDP
2026-06-09 18:27:16,IPv6,2600:4041:65e8:bc00:4946:707f:f15:c888,IPv6 / UDP 2600:4041:65e8:bc00:4946:707f:f15:c888:60101 > 2001:4860:4828:7700:::https / Raw,UDP
2026-06-09 18:27:16,IPv6,2001:4860:4828:7700::,IPv6 / UDP 2001:4860:4828:7700:::https > 2600:4041:65e8:bc00:4946:707f:f15:c888:60101 / Raw,UDP
2026-06-09 18:27:16,IPv6,2600:4041:65e8:bc00:4946:707f:f15:c888,IPv6 / UDP 2600:4041:65e8:bc00:4946:707f:f15:c888:60101 > 2001:4860:4828:7700:::https / Raw,UDP
2026-06-09 18:27:16,IPv6,2001:4860:4828:7700::,IPv6 / UDP 2001:4860:4828:7700:::https > 2600:4041:65e8:bc00:4946:707f:f15:c888:60101 / Raw,UDP
2026-06-09 18:27:16,IPv6,2001:4860:4828:7700::,IPv6 / UDP 2001:4860:4828:7700:::https > 2600:4041:65e8:bc00:4946:707f:f15:c888:60101 / Raw,UDP
2026-06-09 18:27:16,IPv6,2600:4041:65e8:bc00:4946:707f:f15:c888,IPv6 / UDP 2600:4041:65e8:bc00:4946:707f:f15:c888:60101 > 2001:4860:4828:7700:::https / Raw,UDP
2026-06-09 18:27:16,IPv6,2001:4860:4828:7700::,IPv6 / UDP 2001:4860:4828:7700:::https > 2600:4041:65e8:bc00:4946:707f:f15:c888:60101 / Raw,UDP
2026-06-09 18:27:17,IPv4,192.168.1.170,192.168.1.1,UDP
2026-06-09 18:27:17,IPv4,192.168.1.170,192.168.1.1,UDP
2026-06-10 17:25:11,IPv4,192.168.1.171,54.76.125.248,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,54.76.125.248,TCP
2026-06-10 17:25:12,IPv4,54.76.125.248,192.168.1.171,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,54.76.125.248,TCP
2026-06-10 17:25:12,IPv4,54.76.125.248,192.168.1.171,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,192.168.1.1,UDP
2026-06-10 17:25:12,IPv4,192.168.1.171,192.168.1.1,UDP
2026-06-10 17:25:12,IPv4,192.168.1.171,192.168.1.1,UDP
2026-06-10 17:25:12,Layer 2,N/A,N/A,Ether / ARP who has 192.168.1.171 says 192.168.1.1 / Padding
2026-06-10 17:25:12,Layer 2,N/A,N/A,Ether / ARP is at 56:3a:ed:07:f2:00 says 192.168.1.171
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
2026-06-10 17:25:12,IPv4,192.168.1.171,20.42.65.85,TCP
